小玲	Xiǎolíng	Xiaoling, female
托育	tuōyù	(N) childcare
胎	tāi	(N) embryo, birth, child
領	lǐng	(V) to receive, withdraw (money)
元	yuán	(N) dollar (or other currency)
成年	chéngnián	(Vp) to come to age, enter adulthood
除非	chúfēi	(Conj) unless
整體	zhěngtǐ	(N) overall
否則	fǒuzé	(Conj) otherwise
婦女	fùnǚ	(N) woman
意願	yìyuàn	(N) intention
祖父母	zǔfùmǔ	(N) paternal grandparents
孫女	sūnnǚ	(N) granddaughter
重	zhòng	(Vs) heavy
預算	yùsuàn	(N) budget
財政	cáizhèng	(N) finance
沉重	chénzhòng	(Vs) heavy
有效	yǒuxiào	(Vs) effective
正	zhèng	(Adv) during the process of
考驗	kǎoyàn	(V) to test out
智慧	zhìhuì	(N) wisdom
之一	zhīyī	one of
寧缺勿濫	níngquē wùlàn	not settle for less than perfect
合不來	hébùlái	not get along
生兒育女	shēng'ér yùnǚ'	to have and raise children
獨善其身	dúshàn qíshēn	to look out only for oneself, be self-centered
停滯不前	tíngzhì bùqián	in stagnation
逐漸	zhújiàn	(Adv) gradually
據點	jùdiǎn	(N) base, stronghold
統治	tǒngzhì	(V) to rule, govern
景點	jǐngdiǎn	(N) scenic site
繁榮	fánróng	(Vs) prosperous
港口	gǎngkǒu	(N) harbor, port
據說	jùshuō	(V) it is said
鹿	lù	(N) deer
鹿群	lùqún	(N) herd of deer ( 群 -qún, group, crowd)
形狀	xíngzhuàng	(N) shape
鹿角	lùjiǎo	(N) deer antlers
便	biàn	(Adv) accordingly
稱	chēng	(V) to call
動物園	dòngwùyuán	(N) zoo
皮	pí	(N) skin, hides
殺	shā	(V) to kill
數量	shùliàng	(N) number, quantity
風光	fēngguāng	(N) glory
民宅	mínzhái	(N) home, people's residence'
蚵仔煎	ézǐjiān	(N) oyster omelet
哦	ó	(Ptc) an interjection indicating concurrence accepting what has been presented
該	gāi	(Vaux) should, ought to (formal)
興盛	xīngshèng	(Vs) flourishing
時期	shíqí	(N) period, age
獨木舟	dúmùzhōu	(N) canoe
為	wéi	(Vst) as
載運	zàiyùn	(V) to transport
改名	gǎimíng	(V-sep) to legally change one's names'
相似	xiāngsì	(Vs) similar
沒落	mòluò	(Vp) to decline, wane
依然	yīrán	(Adv) still
保留	bǎoliú	(V) to remain intact, preserve
鹿港	Lùgǎng	Lugang
艋舺	Měngjiǎ	Mengjia (Mangka)
淡水河	Dànshuǐ Hé	Tamsui River ( 河 hé,river)
萬華	Wànhuá	Wanhua
台語	Táiyǔ	Taiwanese (a Southern Min dialect)
日語	Rìyǔ	Japanese (language)
家喻戶曉	jiāyù hùxiǎo	widely known
滿山遍野	mǎnshān biànyě	all over the mountains and plains
古色古香	gǔsè gǔxiāng	to have an antique air, quaint, classical in style
綠豆糕	lǜdòu gāo	mung-bean cake
牛舌餅	niúshé bǐng	ox-tongue biscuit
垂涎三尺	chuíxián sānchǐ	to salivate over, make one's mouth water'
數目	shùmù	(N) amount, quantity
大約	dàyuē	(Adv) about, approximately
佔	zhàn	(Vst) constitute (same as “ 占” )
自從	zìcóng	(Prep) ever since
將近	jiāngjìn	(Adv) nearly, almost
往來	wǎnglái	(N) dealings, contact
思念	sīniàn	(Vst) to miss, think about, long for
通信	tōngxìn	(V-sep) to communicate, correspond by mail
毫無	háowú	(Vst) none whatsoever
音訊	yīnxùn	(N) news, information, message
遠離	yuǎnlí	(Vst) to have left far away from
妻子	qīzi	(N) wife (literary)
永遠	yǒngyuǎn	(N) always, forever
開放	kāifàng	(Vp) to open to the public
探親	tànqīn	(Vi) to visit relatives
親人	qīnrén	(N) relatives, loved ones
打聽	dǎtīng	(V) to ask about, inquire
不禁	bùjīn	(Adv) can't help but'
淚	lèi	(N) tears
尚未	shàngwèi	(Adv) not yet
出世	chūshì	(Vp) to be born
童年	tóngnián	(N) childhood
傷心	shāngxīn	(Vs) sad
筆	bǐ	(M) sum (of money)
仍然	réngrán	(Adv) still
原諒	yuánliàng	(Vst) to forgive
盡	jìn	(V) to exhaust, do one's utmost'
究竟	jiùjìng	(Adv) after all, in the end, actually
內心	nèixīn	(N) in one's heart, heart of hearts, innermost being'
創傷	chuāngshāng	(N) trauma, scars
珍惜	zhēnxí	(Vst) to cherish, treasure
精華	jīnghuá	(Vs-attr) prime
逃難	táonàn	(Vi) to flee from war, natural disaster etc
實在	shízài	(Adv) truly, really
歲月	suìyuè	(N) years, time
遭遇	zāoyù	(N/V) (unhappy) experiences, happenings; to encounter, to have met with
老兵	lǎobīng	(N) old soldier, veteran
老張	Lǎo Zhāng	Lao Zhang, a nickname for someone whose surname is Zhang
文化大革命	Wénhuà Dà Gémìng	Cultural Revolution (1966 ~ 1976)
落地生根	luòdì shēnggēn	to set one's roots down'
身強體壯	shēnqiáng tǐzhuàng	strong and healthy
離鄉背井	líxiāng bèijǐng	to leave one's hometown to become a stranger elsewhere'
飄洋過海	piāoyáng guòhǎi	to sail cross the sea
朝思暮想	zhāosī mùxiǎng	to be amiss day and night
一輩子	yíbèizi	one lifetime
恐懼不安	kǒngjù bù'ān'	scared and anxious, suffering from constant fear
刻骨銘心	kègǔ míngxīn	unforgettable, to be imprinted hard in one's mind'
何建明	Hé Jiànmíng	a male college graduate
應徵	yìngzhēng	(V) to apply for a job
配	pèi	(V) to go with, match
領帶	lǐngdài	(N) tie
花	huā	(Vs) fancy, flowery, garish
素色	sùsè	(N) plain (in color)
剩下	shèngxià	(Vpt) to remain, left (over)
龍頭	lóngtóu	(N) head, leader
起薪	qǐxīn	(N) starting salary
福利	fúlì	(N) (work) benefits
具備	jùbèi	(Vst) to have in one's qualification'
限制	xiànzhì	(N) restrictions
以上	yǐshàng	(N) above, over, more than
以下	yǐxià	(N) below, under, fewer than
相關	xiāngguān	(Vs) related, relevant
各位	gèwèi	(N) you (plural, formal)
應屆	yìngjiè	(Vs-attr) this year's, upcoming'
畢業生	bìyèshēng	(N) graduate
大一	dàyī	(N) freshman, first-year university student ( 大二 sophomore, 大三 junior, 大四 senior)
企劃部	qìhuàbù	(N) planning department ( 部 -bù, department)
營運	yíngyùn	(N) operations
知識	zhīshì	(N) knowledge
社長	shèzhǎng	(N) club president
聯合	liánhé	(Adv) jointly
音樂會	yīnyuèhuì	(N) concert
節目	jiémù	(N) program, show, event
好評	hǎopíng	(N) positive comments, praise
企劃	qìhuà	(V/N) to plan (used in business); a plan
領導	lǐngdǎo	(V) to lead
合作	hézuò	(Vi) to cooperate with, work with
似乎	sìhū	(Adv) seem
關於	guānyú	(Prep) related to, regarding
磨練	móliàn	(N/V) training, hone a skill; to train, hone, or to practice over time
優點	yōudiǎn	(N) strong point, forte
上司	shàngsī	(N) supervisor, boss
誇獎	kuājiǎng	(V) to praise, commend
週	zhōu	(M) week
內	nèi	(N) within
以	yǐ	(Prep) to use (formal)
書面	shūmiàn	(N) in writing
通知	tōngzhī	(V/N) to notify; a notification
就...而言	jiù...éryán	as far as...are concerned
新鮮人	xīnxiānrén	freshman, (here) a person, usually a college graduate, new or “fresh” to the workforce
面試官	miànshì guān	interviewing officer
自我介紹	zìwǒ jièshào	self-introduction
所學有限	suǒxué yǒuxiàn	what has been learned is only rather limited
出國	chūguó	(V-sep) to go abroad
資金	zījīn	(N) capital, funds
廠商	chǎngshāng	(N) manufacturer
例外	lìwài	(N) exception
關	guān	(N) hurdle
接觸	jiēchù	(V) to come in contact with, to contact
青年	qīngnián	(N) young people, youth
貸款	dàikuǎn	(N) loan
開店	kāidiàn	(V-sep) to open a store
料	liào	(N) material, (here) a person not suited for…
損失	sǔnshī	(Vpt) to lose
勇氣	yǒngqì	(N) courage
員工	yuángōng	(N) employee
求職	qiúzhí	(Vi) to seek employment
目標	mùbiāo	(N) target, (here) the most ideal job
初步	chūbù	(Vs-attr) preliminary, initial
技巧	jìqiǎo	(N) tips
概念	gàiniàn	(N) concept, idea
挑	tiāo	(V) to select, pick
基本	jīběn	(Vs) basic
襯衫	chènshān	(N) button-up shirt
過程	guòchéng	(N) process
同班	tóngbān	same class
是...的料	shì...de liào	to be gifted in…
接下來	jiēxiàlái	and then, next
提不起 （勇氣）	tíbùqǐ (yǒngqì)	unable to raise...to a high level to pump up (enough courage)
養家活口	yǎngjiā huókǒu	support one's family'
來自	láizì	from 來 + literary preposition 自“ from” = 從...來
熟讀	shóudú	to keep reading something until one remembers everything
考古題	kǎogǔtí	test items from previous years ( 題 -tí, for test items)
沙盤推演	shāpán tuīyǎn	to rehearse; a dry run, a practice run
深藍色	shēn lánsè	dark blue
種族	zhǒngzú	(N) ethnic group, race
熔爐	rónglú	(N) melting pot, smelting furnace, crucible
偏偏	piānpiān	(Adv) deliberately, insist on
肯	kěn	(Vaux) be willing to
母語	mǔyǔ	(N) mother tongue
口音	kǒuyīn	(N) accent
適應	shìyìng	(V) to adapt to, get used to
了不起	liǎobùqǐ	(Vs) terrific, amazing, really something
交流	jiāoliú	(Vi) to exchange, associate
志工	zhìgōng	(N) volunteer
縣	xiàn	(N) county
市	shì	(N) city
外籍	wàijí	(Vs-attr) foreign national
配偶	pèi'ǒu'	(N) spouse
焦慮	jiāolǜ	(Vs) to be anxious
溝通	gōutōng	(N) communication
障礙	zhàng'ài'	(N) obstacle, handicap
良好	liánghǎo	(Vs) positive
以往	yǐwǎng	(Adv) formerly, heretofore
面對	miànduì	(V) to face, confront
衝擊	chōngjí	(N) impact
大眾	dàzhòng	(N) the public, the masses
難以	nányǐ	(Adv) to find it difficult to
認同	rèntóng	(V) to identify with, accept
跨國	kuàguó	(Vs-attr) transnational
大量	dàliàng	(Adv) in large quantities
移入	yírù	(V) to immigrate ( 入 , enter, into (formal))
憂慮	yōulǜ	(Vst) to worry
降低	jiàngdī	(V) to reduce, lower
素質	sùzhí	(N) quality
歧視	qíshì	(Vst) to discriminate
子女	zǐnǚ	(N) children (from 兒子+女兒)
資產	zīchǎn	(N) asset, resource
應	yīng	(Vaux) should, ought to (formal)
平等	píngděng	(N) equality
相互	xiānghù	(Adv) mutually, each other
外人	wàirén	(N) outsider
聯絡	liánluò	(V) to contact, to connect with
小明	Xiǎomíng	Xiaoming, a nickname
家長日	jiāzhǎngrì	parents' day'
氣人	qìrén	exasperating, annoying
照說	zhào shuō	to keep on saying…
在...之餘	zài...zhīyú	to do something at a time when not doing…
本地人	běndì rén	local people
自己人	zìjǐrén	one of us, one of our own, compatriots
哪裡!哪裡!	nǎlǐ nǎlǐ	not at all, not a problem, you're welcome'
漸漸	jiànjiàn	(Adv) gradually
曾	céng	(Adv) have been before, was once (formal)
嘗試	chángshì	(V/N) to try (something new), attempt; an attempt
結構	jiégòu	(N) structure
產生	chǎnshēng	(Vp) to take place, produce
轉變	zhuǎnbiàn	(N) change, transformation
嬰兒	yīng'ér'	(N) baby
雙親	shuāngqīn	(N) both parents
本國	běnguó	(N) our country
國籍	guójí	(N) nationality
大陸籍	Dàlùjí	(N) from Mainland China, (lit. Mainland nationality) (籍 -jí, nationality)
其	qí	(Det) his, her, its, their (formal)
比例	bǐlì	(N) ratio (percentage)
根本	gēnběn	(Vs) fundamental
可見	kějiàn	(Conj) it is obvious that, it is clearly seen that
現有	xiànyǒu	(Vs-attr) current, existing
分配	fēnpèi	(N/V) distribution, to distribute, allocate
顧慮	gùlǜ	(Vst) to be concerned about
學童	xuétóng	(N) school children
身心	shēnxīn	(N) physical and mental, mind and body
缺乏	quēfá	(Vst) to lack
課業	kèyè	(N) school work
指導	zhǐdǎo	(N/V) guidance; to give guidance to
輔導	fǔdǎo	(V) to counsel
輸	shū	(Vp) to lose out (opposite of win)
失去	shīqù	(Vp) to lose (an item), lack
然而	rán'ér'	(Conj) but, on the other hand, however
觀點	guāndiǎn	(N) perspective
加速	jiāsù	(V) to accelerate
創下	chuàngxià	(Vpt) to set (a record)
紀錄	jìlù	(N) record
明顯	míngxiǎn	(Vs) significant, obvious
下降	xiàjiàng	(Vp) to decrease
趨勢	qūshì	(N) trend
高齡化	gāolínghuà	(Vp) for a population to become aged/geriatric
世代	shìdài	(N) generation
不足	bùzú	(Vs) insufficient, not adequate
持續	chíxù	(Vaux) to continue, to keep on
正視	zhèngshì	(V) to face squarely, pay due attention to
國語	Guóyǔ	Mandarin
客語	Kèyǔ	Hakka, a Chinese (Han) dialect
最多數	zuìduōshù	the greatest majority
總人數	zǒng rénshù	total population
起跑點	qǐpǎodiǎn	starting line
新生兒	xīnshēng'ér'	a newborn baby
生產力	shēngchǎn lì	productivity
一較長短	yíjiào chángduǎn	to compete, to compare against
王安康	Wáng Ānkāng	Wang Ankang, male
張定能	Zhāng Dìngnéng	Zhang Dingneng, male
美好	měihǎo	(Vs) wonderful, beautiful
當選	dāngxuǎn	(Vpt) to be elected to an office
無所謂	wúsuǒwèi	(Vs) I don't care; does not bother me'
敏感	mǐngǎn	(Vs) sensitive
化學	huàxué	(N) chemical, chemistry
添加物	tiānjiāwù	(N) additives
殘留	cánliú	(N) residue
修改	xiūgǎi	(V) to amend
法規	fǎguī	(N) laws and regulations, statutes
安養	ānyǎng	(N) to care for, to provide nursing care to all people
河川	héchuān	(N) river and stream
脫離	tuōlí	(Vpt) to separate oneself from, break away from
背景	bèijǐng	(N) background
領域	lǐngyù	(N) area (of study, etc.), (here) walk of life
竟然	jìngrán	(Adv) unexpectedly, surprisingly
總統	zǒngtǒng	(N) president
保障	bǎozhàng	(N/V) security (e.g., job security), to guarantee
特權	tèquán	(N) special privileges
把持	bǎchí	(V) to control
監督	jiāndū	(V) to oversee, monitor, supervise
罷免	bàmiǎn	(V) to recall, remove from office
權	quán	(N) power, authority
廉能	liánnéng	(Vs) clean and capable
富足	fùzú	(Vs) affluent, abundant
在乎	zàihū	(Vst) to care about
生命	shēngmìng	(N) life
財產	cáichǎn	(N) property, assets
義工	yìgōng	(N) volunteer
選戰	xuǎnzhàn	(N) (election) campaign
承諾	chéngnuò	(N/V) promise; to promise
帶領	dàilǐng	(V) to lead
力量	lìliàng	(N) power
擺脫	bǎituō	(V) to rid of
困境	kùnjìng	(N) dire situation, straits
房地產	fángdìchǎn	real estate
小自...大至...	xiǎozì...dàzhì...	from such trivialities to such major concerns (自 from (formal); 至 to (formal))
是否	shìfǒu	whether or not
照理說	zhào lǐ shuō	normally
政治人物	zhèngzhì rénwù	politicians
受苦	shòu kǔ	suffering
富裕	fùyù	(Vs) rich, affluent
貪汙	tānwū	(Vp) to graft, to demand
腐敗	fǔbài	(Vs) corruption
政爭	zhèngzhēng	(N) political infighting
停滯	tíngzhì	(Vp) to stagnate, stall
上升	shàngshēng	(Vp) to rise
信心	xìnxīn	(N) confidence
遊民	yóumín	(N) street people, the homeless
外界	wàijiè	(N) the outside world
悲慘	bēicǎn	(Vs) miserable, tragic
日子	rìzi	(N) days, life
如此	rúcǐ	(Adv) such, so
巨大	jùdà	(Vs) enormous
無能	wúnéng	(Vs) incompetent
冷漠	lěngmò	(Vs) apathetic
學者	xuézhě	(N) scholars
階層	jiēcéng	(N) class hierarchy (in society)
自然	zìrán	(Adv) naturally
阻止	zǔzhǐ	(V) to prevent, block
遙遠	yáoyuǎn	(Vs) remote
無論	wúlùn	(Conj) no matter, regardless
明明	míngmíng	(Adv) clearly, obviously
骯髒	āngzāng	(Vs) dirty
顧	gù	(V) to care about
自身	zìshēn	(N) one's own'
政客	zhèngkè	(N) politico
縱容	zòngróng	(V) to condone, tolerate
使得	shǐde	(Vst) to make, to cause
工廠	gōngchǎng	(N) factory
密集	mìjí	(Vs) crowded with high density of
遭受	zāoshòu	(Vst) to suffer from, be subjected to
困苦	kùnkǔ	(Vs) distressed
老人年金	lǎorén niánjīn	annuity payment for senior citizens (provided by The National Pension Program in Taiwan)
無家可歸	wújiā kěguī	homeless, no home to go back to
以...為...	yǐ...wéi...	taking... as... (formal)
漠不關心	mòbù guānxīn	indifferent
發言權	fāyán quán	right to speak, (here) a voice (in politics, etc.)
影響力	yǐngxiǎng lì	influence
官商勾結	guānshāng gōujié	collusion between politicians and business people
貧富懸殊	pínfù xuánshū	a huge gap between the rich and the poor
息息相關	xíxí xiāngguān	inextricably related to
