安德思	Ān Désī	a man from Honduras
醫治	yīzhì	(V) to heal, cure
一向	yíxiàng	(Adv) have always
一般	yìbān	(Vs-attr) general, most
主要	zhǔyào	(Vs-attr) primary, main
待遇	dàiyù	(N) pay
公立	gōnglì	(Vs-attr) public; government-run
外科	wàikē	(N) department of surgery
超過	chāoguò	(Vpt) to exceed
倍	bèi	(M) times, -fold
另	lìng	(Det) another, additional
價值觀	jiàzhíguān	(N) values
尊敬	zūnjìng	(Vst) to respect, respectful of
告	gào	(V) to sue, bring suit against
平均	píngjūn	(Adv) average
醫療	yīliáo	(N) medical treatment, health care
怪	guài	(V) to blame
愛林	Àilín	female person's name
微整型	wéi zhěngxíng	micro-cosmetic surgery, plastic surgery, face contouring
數一數二	shǔyī shǔ'èr	one of the top or best in..., leading…
人際關係	rénjì guānxì	interpersonal relations
動不動就	dòng bú dòng jiù	to do something impetuously
找回	zhǎo huí	to rediscover, to retrieve
建	jiàn	(V) to build (Classical Chinese)
重建	chóngjiàn	(V) to rebuild
到底	dàodǐ	(Adv) in the end, after all
世紀	shìjì	(N) century
貿易	màoyì	(N) trade
商業	shāngyè	(N) commerce, business
利益	lìyì	(N) gains, benefit
派	pài	(V) to send, dispatch
軍隊	jūnduì	(N) army, military
燒	shāo	(V) to burn
城牆	chéngqiáng	(N) city walls, defensive walls
頭髮	tóufǎ	(N) hair
甚至	shènzhì	(Adv) even, even to the point of
打仗	dǎzhàng	(V-sep) to engage in warfare
少數	shǎoshù	(N) minority, a few
開墾	kāikěn	(V) to open up land for farming
將軍	jiāngjūn	(N) general
軍人	jūnrén	(N) military service member
平原	píngyuán	(N) flatland, plains
人口	rénkǒu	(N) population
血統	xiětǒng	(N) blood, bloodline
嘍	lou	(Ptc) a sentence-final particle meaning 'in that case''
孫子	sūnzi	(N) grandson
領土	lǐngtǔ	(N) territory (of a nation)
男性	nánxìng	(N) male
禁止	jìnzhǐ	(V) to forbid
娶	qǔ	(V) to take a woman in marriage
相信	xiāngxìn	(Vst) to believe
精彩	jīngcǎi	(Vs) splendid, brilliant as (of a performance)
紅毛城	Hóngmáo chéng	Fort Santo Domingo, lit. red-hair city
東方	Dōngfāng	the East, the Orient
淡水	Dànshuǐ	Tamsui
漢人	Hàn rén	Han-ethnic Chinese
鄭成功	Zhèng Chénggōng	Koxinga, 國姓爺 , 1624-1662, who ruled Taiwan against the Manchu sovereignty
明朝	Míng cháo	Ming Dynasty, 1368-1644
中南美洲	Zhōngnán Měizhōu	Central and South America
清朝	Qīng cháo	Qing Dynasty, 1644-1911
大清帝國	Dàqīng dìguó	the Qing Empire
輪到	lúndào	one's turn, it's up to'
十七世紀初	shíqī shìjì chū	early 17th century
打敗	dǎ bài	to defeat
十七世紀末	shíqī shìjì mò	late 17th century
餐桌	cānzhuō	(N) dining table
中式	Zhōngshì	(N) Chinese-style
套	tào	(M) set of (books, clothes, equipment etc)
燒餅	shāobǐng	(N) clay oven sesame seed biscuits, like Indian ‘nan''
油條	yóutiáo	(N) deep-fried dough sticks
飯糰	fàntuán	(N) rice rolls with various fillings
豆漿	dòujiāng	(N) soy milk
內戰	nèizhàn	(N) civil war
人民	rénmín	(N) the people
攤子	tānzi	(N) roadside stand, vendor's stall'
菜單	càidān	(N) menu
蘿蔔	luóbo	(N) daikon radish
接著	jiēzhe	(Adv) to continue, to pick up where something left off
戰爭	zhànzhēng	(N) war
不斷	búduàn	(Vs) continual, incessant
遷移	qiānyí	(Vi) to migrate
多半	duōbàn	(Adv) mostly, in the majority of cases
困難	kùnnán	(Vs) difficult
節儉	jiéjiǎn	(Vs) frugal
主婦	zhǔfù	(N) housewife
煎	jiān	(V) to pan fry
菜色	càisè	(N) variety of dishes
以及	yǐjí	(Conj) and, as well as
美味	měiwèi	(Vs) delicious
點心	diǎnxīn	(N) desserts
日式	Rìshì	(N) Japanese-style
飲食	yǐnshí	(N) food, diet
深	shēn	(Vs) deep
蔣介石	Jiǎng Jièshí	Chiang Kai-Shek, 1887-1975
國共內戰	Guó Gòng nèizhàn	the Chinese Civil War (i.e., between the Kuomintang and the Communists), 1927-1937, 1945-1950
客家人	Kèjiā rén	the Hakka people, a branch of Han
閩南人	Mǐnnán rén	the Southern Min people, also called Hokkien
蛋餅	dàn bǐng	an egg wrap
打輸	dǎ shū	to be defeated
擺攤子	bǎi tānzi	to set up a vendor's stall'
蘿蔔糕	luóbo gāo	daikon cakes
烹飪課	pēngrèn kè	cooking class
曬乾	shài gān	to sun dry
各種各樣	gèzhǒng gèyàng	various types
殖民統治	zhímín tǒngzhì	to colonise and rule
味噌湯	wèizēng tāng	miso soup (Japanese food)
蘿蔔乾	luóbo gān	dried daikon
進一步	jìn yí bù	further
投票	tóupiào	(V-sep) to vote
抱歉	bàoqiàn	(Vs) sorry, apologetic
表妹	biǎomèi	(N) younger female cousin
反核	fǎn hé	(Vs-attr) anti-nuclear
遊行	yóuxíng	(N) demonstration, rally
政治	zhèngzhì	(N) politics
熱衷	rèzhōng	(Vst) enthusiastic about, passionate about
前途	qiántú	(N) future, prospects
勸	quàn	(V) to persuade, to urge
而已	éryǐ	(Ptc) only, merely
民主	mínzhǔ	(Vs) democratic
表達	biǎodá	(V) to express
公共	gōnggòng	(Vs-attr) public
議題	yìtí	(N) issue
核能	hénéng	(N) nuclear power
電廠	diànchǎng	(N) power plant
由	yóu	(Prep) up to, by (a doer)
專家	zhuānjiā	(N) expert, specialist
全面	quánmiàn	(Adv) comprehensively
民意	mínyì	(N) public will, popular opinion
代表	dàibiǎo	(N) representative
處理	chǔlǐ	(V) to deal with, handle, tackle
政黨	zhèngdǎng	(N) political party
難道	nándào	(Adv) Could it be that...?, Is it that...?
滿	mǎn	(Vpt) to become
憲法	xiànfǎ	(N) constitution
投票權	tóupiào quán	(N) right to vote, suffrage
選舉	xuǎnjǔ	(N) election
權利	quánlì	(N) right
表示	biǎoshì	(V) to mean, indicate
反映	fǎnyìng	(Vpt) to reflect
為	wèi	(Prep) for
服務	fúwù	(V) to serve
職位	zhíwèi	(N) position, job
任期	rènqí	(N) term of office
選民	xuǎnmín	(N) voters, electorate
完美	wánměi	(Vs) perfect
積極	jījí	(Vs) actively, to take it upon oneself to, take the initiative to
最佳	zuìjiā	(Vs-attr) the very best, the best possible
推銷員	tuīxiāoyuán	(N) salesperson
有道理	yǒu dàolǐ	there's some truth (to what you are saying)'
候選人	hòuxuǎn rén	candidate
學術界	xuéshùjiè	(N) academia, the academic fields or circles
從政	cóngzhèng	(Vi) to engage in politics
政策	zhèngcè	(N) policy
安定	āndìng	(Vs) stable
辭	cí	(Vp) to quit, resign
頭腦	tóunǎo	(N) brain, mind
改革	gǎigé	(N) reforms
看法	kànfǎ	(N) view, opinion
教育	jiàoyù	(N) education
方面	fāngmiàn	(N) in the areas of (an issue)
得到	dédào	(V) to obtain
連任	liánrèn	(V) to serve a successive term
屆	jiè	(M) term, tenure of elected office
支持度	zhīchídù	(N) approval rating
落選	luòxuǎn	(Vp) to lose an election
得票率	dépiàolǜ	(N) percentage of votes received
預期	yùqí	(N) expectation
暫時	zhànshí	(Adv) temporarily, for the time being (or Cn zànshí)
老家	lǎojiā	(N) hometown
形象	xíngxiàng	(N) image
商量	shāngliáng	(V) to confer, consult with
人脈	rénmài	(N) network of people, contacts
弱勢	ruòshì	(N) disadvantaged (lit. weak power)
退休	tuìxiū	(Vp) to retire
事業	shìyè	(N) business, career
捐	juān	(V) to donate
義務	yìwù	(Adv) to volunteer, on a voluntary basis, to do something gratis
經費	jīngfèi	(N) funds
競選	jìngxuǎn	(V) run for (an office)
也許	yěxǔ	(Adv) perhaps
政治界	zhèngzhìjiè	(N) the world of politics
權力	quánlì	(N) power
辭掉	cídiào	to quit, resign
提出	tíchū	to propose
國民年金	guómín niánjīn	national pension (scheme)
中間選民	zhōngjiān xuǎnmín	swing voters
一陣子	yí zhèn zi	a while, a short duration of time
下一步	xià yí bù	the next step (in doing things)
盡可能	jìn kěnéng	as far as possible, do one's best'
出版社	chūbǎn shè	publishing company
捐出	juānchū	to donate
二手書	èrshǒu shū	secondhand book
